order_id,order_date,item_name,category,price,day_of_week,month
1,2023-01-01,Korean Beef Bowl,Asian,17.95,6,1
2,2023-01-01,Tofu Pad Thai,Asian,14.5,6,1
2,2023-01-01,Spaghetti,Italian,14.5,6,1
2,2023-01-01,Chicken Burrito,Mexican,12.95,6,1
2,2023-01-01,Mushroom Ravioli,Italian,15.5,6,1
2,2023-01-01,French Fries,American,7.0,6,1
3,2023-01-01,Chicken Burrito,Mexican,12.95,6,1
3,2023-01-01,Chicken Torta,Mexican,11.95,6,1
4,2023-01-01,Chicken Burrito,Mexican,12.95,6,1
5,2023-01-01,Chicken Burrito,Mexican,12.95,6,1
6,2023-01-01,Hamburger,American,12.95,6,1
6,2023-01-01,Potstickers,Asian,9.0,6,1
7,2023-01-01,Chips & Guacamole,Mexican,9.0,6,1
8,2023-01-01,Chips & Guacamole,Mexican,9.0,6,1
9,2023-01-01,Tofu Pad Thai,Asian,14.5,6,1
9,2023-01-01,Fettuccine Alfredo,Italian,14.5,6,1
9,2023-01-01,Pork Ramen,Asian,17.95,6,1
9,2023-01-01,Chicken Burrito,Mexican,12.95,6,1
9,2023-01-01,Chicken Burrito,Mexican,12.95,6,1
9,2023-01-01,Mushroom Ravioli,Italian,15.5,6,1
9,2023-01-01,Chips & Salsa,Mexican,7.0,6,1
9,2023-01-01,Shrimp Scampi,Italian,19.95,6,1
9,2023-01-01,Eggplant Parmesan,Italian,16.95,6,1
10,2023-01-01,Mushroom Ravioli,Italian,15.5,6,1
10,2023-01-01,Mac & Cheese,American,7.0,6,1
11,2023-01-01,Hamburger,American,12.95,6,1
11,2023-01-01,Cheeseburger,American,13.95,6,1
11,2023-01-01,Cheeseburger,American,13.95,6,1
11,2023-01-01,Edamame,Asian,5.0,6,1
12,2023-01-01,Cheeseburger,American,13.95,6,1
12,2023-01-01,Cheeseburger,American,13.95,6,1
12,2023-01-01,Veggie Burger,American,10.5,6,1
12,2023-01-01,Chicken Burrito,Mexican,12.95,6,1
13,2023-01-01,Mushroom Ravioli,Italian,15.5,6,1
14,2023-01-01,Potstickers,Asian,9.0,6,1
15,2023-01-01,Orange Chicken,Asian,16.5,6,1
15,2023-01-01,Spaghetti,Italian,14.5,6,1
15,2023-01-01,Cheese Quesadillas,Mexican,10.5,6,1
15,2023-01-01,Potstickers,Asian,9.0,6,1
16,2023-01-01,Spaghetti & Meatballs,Italian,17.95,6,1
16,2023-01-01,California Roll,Asian,11.95,6,1
16,2023-01-01,French Fries,American,7.0,6,1
17,2023-01-01,Hamburger,American,12.95,6,1
17,2023-01-01,Steak Tacos,Mexican,13.95,6,1
17,2023-01-01,Spaghetti,Italian,14.5,6,1
17,2023-01-01,Spaghetti & Meatballs,Italian,17.95,6,1
17,2023-01-01,Chicken Burrito,Mexican,12.95,6,1
17,2023-01-01,Meat Lasagna,Italian,17.95,6,1
17,2023-01-01,Cheese Lasagna,Italian,15.5,6,1
